,City,Country,Latitude,Longitude,Temp (F),Humidity (%),Clouds (%),Wind Speed (mph)
175,nome,us,64.5011111,-165.4063889,26.67,60.0,75.0,12.66
176,kununurra,au,-15.7783483,128.7439001,82.38,78.0,31.0,1.14
177,loa janan,id,-0.7048801,117.0323305,74.07,98.0,97.0,0.4
178,vestmannaeyjar,is,63.437679,-20.267321,46.74,83.0,98.0,22.08
179,clarksville,us,36.5297706,-87.3594528,53.69,96.0,90.0,4.61
180,guerrero negro,mx,27.9591758,-114.056646,72.12,56.0,0.0,2.1
181,walvis bay,na,-22.9584081,14.5057511,64.09,54.0,1.0,22.28
182,nokaneng,bw,-19.6633028,22.1936928,89.58,28.0,49.0,3.94
183,fort saint john,ca,56.252423,-120.846409,,,,
184,deputatskiy,ru,69.30260299999999,139.9583829,7.0,90.0,100.0,7.45
185,rio grande,br,29.521204,-101.259159,76.95,66.0,9.0,17.83
186,praia da vitoria,pt,38.7339162,-27.0646976,72.75,89.0,100.0,8.86
187,cagayan de tawi-tawi,ph,6.997029299999999,118.4747173,,,,
188,provideniya,ru,64.4031643,-173.2064559,9.05,80.0,39.0,3.98
189,bongor,td,10.2748807,15.3775245,94.89,28.0,27.0,0.51
190,bambous virieux,mu,-20.3438619,57.7636821,73.22,74.0,82.0,11.03
191,lompoc,us,34.6391501,-120.4579409,66.02,67.0,1.0,4.61
192,ahipara,nz,-35.1713175,173.1533354,57.85,94.0,57.0,5.1
193,castro,cl,37.7609082,-122.4350043,71.26,67.0,97.0,4.34
194,yamasaki,jp,41.3134215,-72.9321788,53.35,81.0,2.0,4.72
195,griffith,au,41.5283693,-87.42364970000001,53.64,96.0,90.0,4.0
196,paamiut,gl,61.99411509999999,-49.6665709,33.51,93.0,100.0,5.46
197,sidi ali,dz,36.1008532,0.4220044,68.85,56.0,97.0,6.26
198,sept-iles,ca,50.21329679999999,-66.37579199999999,48.54,39.0,0.0,0.94
199,guelengdeng,td,10.9189109,15.5503683,,,,
200,perelyub,ru,51.8614971,50.3456762,41.56,78.0,100.0,8.34
201,saint george,bm,37.0965278,-113.5684164,57.2,61.0,1.0,0.0
202,saskylakh,ru,71.954308,114.1198349,-17.14,99.0,74.0,5.93
203,chuy,uy,36.045809,-96.005479,75.67,55.0,1.0,15.01
204,geraldton,au,-28.7761346,114.611295,55.81,76.0,0.0,13.8
205,khonuu,ru,66.455612,143.2225799,,,,
206,robertsport,lr,6.7509063,-11.367219,81.25,75.0,99.0,7.9
207,sunland park,us,31.796496,-106.5799891,60.89,26.0,1.0,3.0
208,aflu,dz,34.1139518,2.0973854,,,,
209,dongsheng,cn,39.822507,109.963338,40.46,37.0,7.0,7.65
210,santa marta,co,11.2403547,-74.2110227,83.68,74.0,100.0,13.0
211,ilulissat,gl,69.2198118,-51.0986031,19.42,79.0,40.0,4.61
212,juruti,br,-2.1633411,-56.0952985,94.51,40.0,39.0,4.16
213,hofn,is,64.24970259999999,-15.2020077,46.42,93.0,75.0,10.36
214,ucluelet,ca,48.9415997,-125.5463446,42.08,93.0,47.0,8.95
215,skjervoy,no,70.0339919,20.9737452,39.2,63.0,100.0,30.33
216,bintulu,my,3.171322,113.0419069,77.27,89.0,100.0,2.15
217,mantenopolis,br,-18.8617047,-41.121213,78.66,61.0,93.0,6.46
218,agadez,ne,16.9741689,7.986535,90.79,10.0,41.0,7.36
219,vao,nc,-15.8969511,167.3080313,70.38,73.0,3.0,11.86
220,aksarka,ru,66.5583101,67.7877623,16.56,79.0,100.0,14.56
221,boyolangu,id,-8.1195357,111.8942801,76.73,92.0,100.0,3.94
222,brae,gb,60.39685199999999,-1.3541129,51.71,97.0,100.0,11.68
223,barawe,so,1.1161954,44.0318162,,,,
224,wenling,cn,28.372506,121.385604,61.95,78.0,88.0,5.14
225,fortuna,us,40.5981867,-124.1572756,57.11,76.0,90.0,5.01
226,lubango,ao,-14.9186136,13.5321234,76.55,34.0,100.0,1.23
227,victoria,sc,36.9948743,-78.22722,77.97,78.0,79.0,5.99
228,olafsvik,is,64.89604849999999,-23.7060262,40.01,91.0,100.0,37.96
229,okha,ru,53.5893264,142.9521874,32.47,87.0,10.0,6.78
230,sao filipe,cv,14.8951679,-24.4945636,79.88,72.0,100.0,8.23
231,maloy,no,45.5198124,-122.6824361,55.53,77.0,100.0,8.01
232,nuuk,gl,64.18140989999999,-51.6941381,34.41,93.0,75.0,12.66
233,laguna,br,33.5427189,-117.7853568,57.2,96.0,1.0,1.01
234,eyl,so,40.7625718,-73.5427564,79.09,69.0,7.0,16.08
235,amderma,ru,69.751221,61.6636961,,,,
236,uray,ru,60.12543359999999,64.8066207,22.64,67.0,6.0,14.54
237,clyde river,ca,70.47636500000002,-68.60126509999999,28.11,91.0,97.0,10.89
238,erenhot,cn,43.653169,111.977943,42.6,41.0,24.0,9.91
239,viligili,mv,0.7573413,73.43422699999999,,,,
240,san juan,us,18.4655394,-66.1057355,91.49,23.0,93.0,8.99
241,portlethen,gb,57.061681,-2.129468,50.07,93.0,90.0,1.99
242,churapcha,ru,62.0036053,132.4308097,16.83,96.0,100.0,6.58
243,san cristobal,ec,16.7369928,-92.63759879999999,75.38,72.0,87.0,4.61
244,acapulco,mx,16.8531086,-99.8236533,85.82,70.0,1.0,4.61
245,aljezur,pt,37.31657,-8.7992645,68.74,81.0,100.0,13.06
246,murgab,tm,38.1869138,73.9976946,52.54,40.0,0.0,10.71
247,meulaboh,id,4.1436951,96.12811459999999,78.42,86.0,95.0,2.08
248,tromso,no,69.6497717,18.9841221,38.79,75.0,75.0,1.01
249,babushkin,ru,-69.1,157.6000001,31.77,57.0,0.0,5.64
250,bud,no,38.0467117,-84.4609467,56.7,90.0,54.0,5.7
251,dikson,ru,73.507735,80.53103010000001,7.79,85.0,100.0,14.45
252,whitecourt,ca,54.1273952,-115.6654225,33.6,70.0,20.0,3.18
253,ostrovnoy,ru,68.0603191,39.4740385,35.47,98.0,100.0,8.68
254,longyearbyen,sj,78.22317220000001,15.6267229,26.44,68.0,40.0,14.97
255,ust-kut,ru,56.7910394,105.7768683,26.8,53.0,95.0,4.05
256,caravelas,br,-17.7337668,-39.2652781,81.73,58.0,59.0,9.33
257,awjilah,ly,29.09058499999999,21.3321974,78.73,40.0,100.0,9.06
258,amahai,id,-3.3393615,128.9229993,78.12,88.0,100.0,2.95
259,naze,jp,51.8666667,1.2833333,69.31,68.0,52.0,12.01
260,roma,au,19.4095846,-99.1575732,50.92,66.0,1.0,10.36
261,yulara,au,-25.237979,130.9856199,75.04,17.0,75.0,11.5
262,alofi,nu,-19.0553711,-169.9178709,76.69,62.0,99.0,20.54
263,guangyuan,cn,32.435435,105.843357,60.49,99.0,95.0,3.67
264,arlit,ne,18.7390029,7.3894772,98.24,7.0,37.0,1.81
265,tupik,ru,41.5174847,-87.9808481,21.52,77.0,48.0,2.48
266,taos,us,36.4072134,-105.5733788,40.01,45.0,1.0,0.0
267,lata,sb,39.9565109,-82.8497895,59.86,91.0,100.0,5.75
268,dunedin,nz,28.0197404,-82.7717684,56.8,91.0,17.0,8.01
269,lorengau,pg,-2.0298424,147.2743657,81.03,81.0,9.0,3.0
270,college,us,37.83805479999999,-94.3701012,17.49,90.0,90.0,4.61
271,santa isabel,us,17.9660775,-66.404892,73.98,74.0,99.0,4.34
272,east london,za,51.55633,0.0655092,66.63,84.0,86.0,17.9
273,zonguldak,tr,41.45352099999999,31.78938,46.51,91.0,0.0,0.81
274,berezna,ua,51.56467439999999,31.7847761,48.69,85.0,2.0,6.78
275,samalaeulu,ws,-13.4973599,-172.3105939,,,,
276,kachikau,bw,-18.153243,24.5034739,,,,
277,gimli,ca,38.9777498,-77.1071206,44.08,58.0,13.0,9.91
278,rundu,na,-17.9253295,19.7532148,84.69,37.0,61.0,7.58
279,la rinconada,es,-14.6311542,-69.4464247,66.43,85.0,75.0,20.71
280,gigmoto,ph,13.7912671,124.3532417,79.68,82.0,18.0,10.71
281,samarai,pg,-10.6120235,150.6640758,82.4,82.0,70.0,9.48
282,dong hoi,vn,17.4659391,106.5983958,75.52,91.0,89.0,3.83
283,den helder,nl,52.95628079999999,4.7607971,57.31,83.0,75.0,23.0
284,alta floresta,br,-9.8682193,-56.0834811,94.19,39.0,89.0,3.27
285,teguldet,ru,57.304527,88.17174899999999,36.32,58.0,100.0,11.9
286,narsaq,gl,60.9129622,-46.0504831,34.02,70.0,100.0,1.25
287,maua,ke,-23.666558,-46.4599145,68.09,91.0,98.0,6.62
288,fare,pf,41.8868872,-87.650454,78.21,75.0,92.0,17.45
289,abhar,ir,36.1524763,49.23853390000001,52.86,68.0,95.0,1.14
290,iqaluit,ca,63.74669300000001,-68.5169669,36.7,86.0,100.0,10.0
291,warrnambool,au,-38.3686779,142.4982086,46.27,69.0,65.0,10.69
292,bubaque,gw,11.283333,-15.833333,82.81,67.0,94.0,5.01
293,adrar,dz,28.0174403,-0.2642497,88.75,22.0,35.0,9.33
294,belyy yar,ru,58.4468168,85.03452999999999,37.29,81.0,0.0,4.47
295,northam,au,43.7720274,-79.3374417,54.18,77.0,97.0,15.35
296,mozarlandia,br,-14.7471159,-50.5718669,99.64,24.0,26.0,5.26
297,rolim de moura,br,-11.7256983,-61.77814089999999,,,,
298,tumannyy,ru,68.878911,35.6675264,,,,
299,klaksvik,fo,62.2271922,-6.5779064,49.12,90.0,57.0,12.95
300,anadyr,ru,64.7336613,177.4968265,-11.0,76.0,48.0,5.99
301,caceres,br,39.4752765,-6.3724247,60.8,85.0,100.0,7.76
302,lolua,tv,-1.3805556,35.6358333,,,,
303,pavlodar,kz,52.2873032,76.9674023,35.4,60.0,0.0,6.71
304,tsihombe,mg,-25.3168473,45.48630929999999,,,,
305,chumikan,ru,54.7165204,135.3084384,34.77,99.0,99.0,10.58
306,sorland,no,67.6635735,12.6926738,44.46,80.0,96.0,2.62
307,kamenskoye,ru,62.46661,166.211243,,,,
308,pemangkat,id,1.1552999,108.985882,78.35,85.0,89.0,7.14
309,peniche,pt,39.3603291,-9.387622,64.04,89.0,100.0,21.3
310,khandbari,np,27.392669,87.2120599,60.53,81.0,12.0,2.77
311,coahuayana,mx,18.7372222,-103.6688888,85.48,69.0,16.0,1.1
312,grand centre,ca,35.5259012,-97.5760435,,,,
313,vila velha,br,-20.3518079,-40.3079697,80.55,65.0,20.0,12.66
314,padang,id,-0.9470831999999999,100.417181,79.23,84.0,100.0,4.09
315,samusu,ws,-14.0056774,-171.4299586,,,,
316,olot,es,42.18220780000001,2.4880242,62.94,64.0,100.0,1.99
317,horsham,au,40.1784422,-75.1285061,55.69,77.0,20.0,12.66
318,chhuikhadan,in,21.5250525,80.9955605,71.55,69.0,79.0,4.16
319,hakkari,tr,37.577427,43.736782,44.33,91.0,100.0,4.09
320,onokhoy,ru,51.9227433,108.0503071,15.55,51.0,0.0,1.32
321,guarapari,br,-20.6738927,-40.4999838,80.49,74.0,98.0,6.6
322,chapais,ca,49.78221,-74.85248,47.25,44.0,0.0,6.17
323,phrai bung,th,14.7531969,104.367553,,,,
324,inuvik,ca,68.3607437,-133.7230178,23.76,100.0,90.0,3.44
325,harper,lr,37.2866863,-98.02589449999999,78.69,84.0,86.0,9.19
326,port moresby,pg,-9.443800399999999,147.1802671,76.86,90.0,100.0,3.38
327,phan thiet,vn,10.9804603,108.2614775,77.81,89.0,100.0,8.3
328,vaitupu,wf,-7.476732699999999,178.6747675,,,,
329,westport,nz,41.1414717,-73.3579049,52.29,72.0,90.0,1.01
330,acari,pe,41.283753,-72.36843329999999,78.37,52.0,68.0,10.16
331,vila franca do campo,pt,37.7157269,-25.4345063,73.2,93.0,98.0,19.33
332,san jose,gt,37.3382082,-121.8863286,60.12,79.0,40.0,0.0
333,hibbing,us,47.42715459999999,-92.9376887,42.69,81.0,90.0,8.05
334,betare oya,cm,5.5920207,14.0856133,74.68,85.0,97.0,1.72
335,teodoro sampaio,br,-22.531445,-52.1733777,85.95,54.0,5.0,6.53
336,heiligenhafen,de,54.36967989999999,10.97561,55.58,74.0,40.0,18.97
337,yar-sale,ru,66.86258699999999,70.854469,17.13,93.0,100.0,24.18
338,port keats,au,-14.250637,129.549659,83.07,74.0,45.0,3.47
339,sur,om,34.0812288,-118.3853088,79.56,51.0,0.0,2.59
340,ugoofaaru,mv,5.6675876,73.03019680000001,81.97,71.0,22.0,9.13
341,karaton,kz,51.0457811,3.7396666,78.33,91.0,86.0,1.5
342,marcona,pe,-15.3439659,-75.0844757,,,,
343,zorgo,bf,12.2483626,-0.6251540999999999,96.93,25.0,81.0,8.48
344,pangai,to,-19.811431,-174.3502613,76.05,79.0,100.0,15.59
345,norrtalje,se,59.7595841,18.7013584,47.64,91.0,50.0,7.74
346,grand gaube,mu,-20.014212,57.6694082,73.38,83.0,73.0,1.99
347,tabulbah,tn,35.6439601,10.9467939,,,,
348,mocuba,mz,-16.8402212,36.9648534,75.87,47.0,14.0,11.68
349,denpasar,id,-8.670458199999999,115.2126293,79.72,88.0,75.0,6.91
350,kungurtug,ru,50.595182,97.519958,27.77,85.0,63.0,2.08
351,ojinaga,mx,29.5458844,-104.4082908,68.88,24.0,1.0,9.22
352,qasigiannguit,gl,68.8219742,-51.1817888,19.65,95.0,95.0,4.88
353,fort nelson,ca,58.8050174,-122.697236,29.35,55.0,35.0,4.38
354,ancud,cl,-41.8675003,-73.8276965,58.53,73.0,84.0,9.93
355,tumalaytay,ph,12.2834186,123.2173628,77.2,90.0,30.0,10.2
356,bereda,so,38.5859164,-89.92811549999999,56.82,83.0,100.0,6.42
357,kalabo,zm,-14.9931607,22.6779684,83.64,37.0,88.0,8.61
358,bantry,ie,51.6800803,-9.452576299999999,51.75,95.0,96.0,8.01
359,almeirim,br,39.2075584,-8.625918799999999,93.58,46.0,22.0,3.6
360,meadow lake,ca,44.02199390000001,-92.5302774,52.56,42.0,0.0,1.52
361,cockburn town,bs,21.4674584,-71.13891009999999,82.87,72.0,38.0,11.32
362,kankon,in,22.6325254,88.4494579,80.82,76.0,66.0,5.48
363,chokurdakh,ru,70.622169,147.916168,-13.27,97.0,100.0,3.36
364,flinders,au,41.0545806,-73.5408248,60.15,74.0,0.0,6.78
365,tiznit,ma,29.693392,-9.732156999999999,71.51,49.0,10.0,8.61
366,atbasar,kz,51.8204945,68.3636926,38.57,69.0,100.0,15.35
367,mangrol,in,21.1171698,70.11581129999999,80.64,55.0,100.0,1.5
368,hongjiang,cn,27.208609,109.836669,56.88,97.0,78.0,1.66
